2	Notifications submitted	 	\N	\N	
3	Notifications submitted	uyt	2020-05-07 18:00:38.573856-04	2020-05-07 18:00:39.124435-04	Welcome Email
4	Notified 5 attendees	Welcome Email	2020-05-07 18:14:04.239065-04	2020-05-07 18:14:04.271981-04	Welcome Email
5	Notifications submitted	New Speaker Added: Dr Daniel Shu	2020-05-07 23:24:00.504412-04	\N	New Speaker Added: Dr Daniel Shu
\.


